,patient,band,train,test
0,1,6-30Hz,0.2685379000000001,0.005597700000000039
1,1,9-14Hz,0.2544719000000004,0.0065542000000000655
2,1,10-12Hz,0.2569245000000002,0.007187300000000008
3,2,6-30Hz,0.24107569999999967,0.00679540000000145
4,2,9-14Hz,0.2524382000000003,0.006512999999998215
5,2,10-12Hz,0.26014840000000206,0.006245899999999693
6,3,6-30Hz,0.26317430000000286,0.006167800000000057
7,3,9-14Hz,0.2716756000000018,0.007161400000001095
8,3,10-12Hz,0.22786359999999917,0.006002300000005789
9,4,6-30Hz,0.2586701999999974,0.007188599999999212
10,4,9-14Hz,0.2812365999999997,0.0056615000000022064
11,4,10-12Hz,0.26295659999999543,0.007024899999997558
12,5,6-30Hz,0.25267249999999564,0.007365500000005909
13,5,9-14Hz,0.2462990000000005,0.005355600000001459
14,5,10-12Hz,0.28766869999999756,0.007251999999994041
15,6,6-30Hz,0.2088980000000049,0.0064971999999983154
16,6,9-14Hz,0.22501889999999491,0.006197900000003642
17,6,10-12Hz,0.23792989999999747,0.007093699999998648
18,7,6-30Hz,0.28957250000000556,0.006847999999990861
19,7,9-14Hz,0.2825798000000077,0.007261100000008014
20,7,10-12Hz,0.33465309999999704,0.007157800000001657
21,8,6-30Hz,0.23679179999999178,0.0065185999999926025
22,8,9-14Hz,0.25652149999999097,0.007117600000000834
23,8,10-12Hz,0.22894960000000708,0.006320099999996387
24,9,6-30Hz,0.29794259999999895,0.007872799999987024
25,9,9-14Hz,0.28460450000000037,0.006479400000003466
26,9,10-12Hz,0.2964279999999917,0.006923999999997932
27,10,6-30Hz,0.24627590000000055,0.00696349999999768
28,10,9-14Hz,0.2737720000000081,0.006113400000003821
29,10,10-12Hz,0.30590719999997873,0.006431800000001431
30,11,6-30Hz,0.27710000000001855,0.006695600000000468
31,11,9-14Hz,0.29002850000000535,0.00673380000000634
32,11,10-12Hz,0.2907457999999963,0.006590399999993224
33,12,6-30Hz,0.21996409999999855,0.005794299999990926
34,12,9-14Hz,0.2385833999999818,0.00510360000001242
35,12,10-12Hz,0.24139220000000705,0.005527599999993527
36,13,6-30Hz,0.24273940000000493,0.00822160000001304
37,13,9-14Hz,0.24972410000000878,0.010305899999991652
38,13,10-12Hz,0.2427299000000005,0.0065394000000083
39,14,6-30Hz,0.28433660000001737,0.0075887000000136595
40,14,9-14Hz,0.2905022999999858,0.005331100000006472
41,14,10-12Hz,0.2623121000000026,0.006587700000011409
42,15,6-30Hz,0.27588420000000724,0.005465700000002016
43,15,9-14Hz,0.24545380000000705,0.005680600000005143
44,15,10-12Hz,0.24429580000000328,0.005931800000013254
45,16,6-30Hz,0.25477330000001075,0.005927100000008068
46,16,9-14Hz,0.24267970000002492,0.008321500000022297
47,16,10-12Hz,0.26097619999998756,0.006395099999991771
48,17,6-30Hz,0.24379799999999818,0.006831599999998161
49,17,9-14Hz,0.24425719999999274,0.006444899999991094
50,17,10-12Hz,0.26142479999998613,0.009251500000004853
51,18,6-30Hz,0.2519115000000056,0.0065351000000077875
52,18,9-14Hz,0.2554715999999928,0.00593029999998862
53,18,10-12Hz,0.28521630000000187,0.007365600000014183
54,19,6-30Hz,0.17977680000001328,0.004364499999979898
55,19,9-14Hz,0.1895351000000005,0.004532800000021098
56,19,10-12Hz,0.19770079999997847,0.0038189999999929114
57,20,6-30Hz,0.11914809999998965,0.002426000000014028
58,20,9-14Hz,0.1299559000000272,0.0023175999999978103
59,20,10-12Hz,0.1383835999999974,0.0037542000000030384
60,21,6-30Hz,0.24376799999998866,0.005461400000001504
61,21,9-14Hz,0.2939860999999837,0.00575739999999314
62,21,10-12Hz,0.26812759999995706,0.006669199999976172
63,22,6-30Hz,0.25188330000003134,0.008780900000033398
64,22,9-14Hz,0.28431810000000723,0.006395600000018931
65,22,10-12Hz,0.2675916000000029,0.00677029999997103
66,23,6-30Hz,0.23247189999995044,0.006145600000024842
67,23,9-14Hz,0.29703010000002905,0.005895399999985784
68,23,10-12Hz,0.25096170000000484,0.006325600000025133
69,24,6-30Hz,0.25457899999997835,0.007334500000013122
70,24,9-14Hz,0.24093140000002222,0.006972399999995105
71,24,10-12Hz,0.2525845999999774,0.007416400000010981
72,25,6-30Hz,0.23618599999997514,0.005280000000027485
73,25,9-14Hz,0.23697029999999586,0.007277499999986503
74,25,10-12Hz,0.24509979999999132,0.005868099999986498
75,26,6-30Hz,0.2460775000000126,0.005328899999994974
76,26,9-14Hz,0.24887069999999767,0.00656850000001441
77,26,10-12Hz,0.2671144000000254,0.006740600000000541
78,27,6-30Hz,0.23657639999998992,0.005378600000028655
79,27,9-14Hz,0.230844100000013,0.0060166000000094755
80,27,10-12Hz,0.23739640000002282,0.005758200000002489
81,28,6-30Hz,0.2459091999999714,0.006994899999995141
82,28,9-14Hz,0.2331314999999563,0.00728300000002946
83,28,10-12Hz,0.2494313000000261,0.006109600000002047
84,29,6-30Hz,0.08739459999998189,0.0004635000000234868
85,29,9-14Hz,0.07680240000001959,0.0004334000000199012
86,29,10-12Hz,0.0987880000000132,0.0009489999999914289
87,30,6-30Hz,0.167661599999974,0.003148099999975784
88,30,9-14Hz,0.18363590000001295,0.003012800000021798
89,30,10-12Hz,0.17671799999999394,0.0035811000000194326
90,31,6-30Hz,0.24018960000000789,0.00633480000004738
91,31,9-14Hz,0.2621482000000128,0.0068570999999906235
92,31,10-12Hz,0.23670939999999518,0.005978200000015477
93,32,6-30Hz,0.23674599999998236,0.005682500000034452
94,32,9-14Hz,0.23399619999997867,0.006744200000014189
95,32,10-12Hz,0.25007909999999356,0.006119399999988673
96,33,6-30Hz,0.2566018999999642,0.006767800000034185
97,33,9-14Hz,0.264216499999975,0.005875800000012532
98,33,10-12Hz,0.23792929999996204,0.007655199999987872
99,34,6-30Hz,0.08423460000000205,0.0004832000000192238
100,34,9-14Hz,0.07261379999999917,0.0004781000000093627
101,34,10-12Hz,0.11046340000001464,0.0005323999999973239
102,35,6-30Hz,0.25726399999996374,0.007020199999999477
103,35,9-14Hz,0.2575851999999941,0.006948800000031952
104,35,10-12Hz,0.26898060000002033,0.006018499999981941
105,36,6-30Hz,0.25905419999998003,0.006662000000005719
106,36,9-14Hz,0.2735001000000352,0.006358200000022407
107,36,10-12Hz,0.2600087000000144,0.005385900000021593
108,37,6-30Hz,0.23955480000000762,0.005255900000008751
109,37,9-14Hz,0.25443899999999076,0.005754300000035073
110,37,10-12Hz,0.23590200000001005,0.006836100000043643
111,38,6-30Hz,0.23129440000002432,0.0058287999999606654
112,38,9-14Hz,0.24448330000001306,0.006420599999955812
113,38,10-12Hz,0.2332485999999676,0.006878799999981311
114,39,6-30Hz,0.25706919999998945,0.007419799999979659
115,39,9-14Hz,0.24446339999997235,0.006829600000003211
116,39,10-12Hz,0.24494390000000976,0.006288599999948019
117,40,6-30Hz,0.24489899999997533,0.006568300000026284
118,40,9-14Hz,0.2522119999999859,0.007072499999992488
119,40,10-12Hz,0.2800894999999741,0.0054941000000212625
120,41,6-30Hz,0.285704399999986,0.007103400000005422
121,41,9-14Hz,0.2511367000000746,0.0057749000000058
122,41,10-12Hz,0.2661818999999923,0.007887799999934941
123,42,6-30Hz,0.266857400000049,0.006815899999992325
124,42,9-14Hz,0.2516676999999845,0.006721200000015415
125,42,10-12Hz,0.2695796000000428,0.007088299999963965
126,43,6-30Hz,0.24012470000002395,0.0072106000000076165
127,43,9-14Hz,0.2929347000000462,0.006414100000029066
128,43,10-12Hz,0.27289840000003096,0.006352400000082525
129,44,6-30Hz,0.2853827999999794,0.005499900000017988
130,44,9-14Hz,0.29711780000002364,0.0058667000000696135
131,44,10-12Hz,0.2613317000000279,0.006786299999930634
132,45,6-30Hz,0.24419520000003558,0.005888200000072175
133,45,9-14Hz,0.27044599999999264,0.006330899999966277
134,45,10-12Hz,0.2825060999999778,0.007305800000040108
135,46,6-30Hz,0.27299840000000586,0.007966399999986606
136,46,9-14Hz,0.28417739999997593,0.008956099999977596
137,46,10-12Hz,0.2933115999999245,0.006947599999989507
138,47,6-30Hz,0.24167529999999715,0.006322399999930894
139,47,9-14Hz,0.24863040000002457,0.006215999999994892
140,47,10-12Hz,0.2553924000000052,0.006189299999959985
141,48,6-30Hz,0.2607772000000068,0.007174499999905493
142,48,9-14Hz,0.25139519999993354,0.006237000000055559
143,48,10-12Hz,0.25667070000008607,0.006554099999902974
144,49,6-30Hz,0.23990870000000086,0.006073899999933019
145,49,9-14Hz,0.23300770000003013,0.005038799999965704
146,49,10-12Hz,0.3024851000000126,0.007283199999960743
147,50,6-30Hz,0.23729449999996177,0.006327700000042569
148,50,9-14Hz,0.24712810000005447,0.007726899999966008
149,50,10-12Hz,0.2668453999999656,0.005444199999942612
150,51,6-30Hz,0.24273809999999685,0.006103899999970963
151,51,9-14Hz,0.2498892999999498,0.006351300000005722
152,51,10-12Hz,0.27423109999995177,0.006902099999933853
153,52,6-30Hz,0.2672327000000223,0.005458399999952235
154,52,9-14Hz,0.26850930000000517,0.008669399999917005
155,52,10-12Hz,0.25938030000008894,0.006624200000032943
