,patient,classifier,train,test
0,1,LDA,0.2594783000000005,0.006416699999999942
1,1,MLP,1.2309257999999996,0.005940700000000021
2,2,LDA,0.23579550000000182,0.006553900000000112
3,2,MLP,1.2435756999999974,0.006672600000001694
4,3,LDA,0.2586921000000011,0.006751000000001284
5,3,MLP,1.154005399999999,0.006235600000000119
6,4,LDA,0.2547731000000013,0.007117899999997235
7,4,MLP,1.200650600000003,0.005785200000005375
8,5,LDA,0.23467959999999977,0.006255899999999315
9,5,MLP,0.6067040000000006,0.0066176999999996156
10,6,LDA,0.21504829999999941,0.006018099999998583
11,6,MLP,0.5993404000000027,0.005944299999995906
12,7,LDA,0.2688705999999996,0.008505599999999447
13,7,MLP,1.3473366999999996,0.006893800000000283
14,8,LDA,0.23129509999999698,0.0054972000000077514
15,8,MLP,1.2158328999999952,0.005726600000002691
16,9,LDA,0.2806020000000018,0.006249499999995578
17,9,MLP,1.271448300000003,0.006835899999998674
18,10,LDA,0.27061730000001205,0.006858499999992773
19,10,MLP,1.0769523999999961,0.005880600000011782
20,11,LDA,0.2606913999999989,0.005658600000003844
21,11,MLP,1.2588606999999996,0.005836400000006847
22,12,LDA,0.2155370999999917,0.007206600000003505
23,12,MLP,0.588403299999996,0.005507299999990778
24,13,LDA,0.23021699999999612,0.0061045000000063965
25,13,MLP,1.2234897999999959,0.005924600000000169
26,14,LDA,0.316797600000001,0.006471199999992905
27,14,MLP,0.7761898999999914,0.00586449999997285
28,15,LDA,0.2224971999999923,0.005907500000006394
29,15,MLP,1.1484624999999937,0.006467899999989868
30,16,LDA,0.24848120000001472,0.0059180000000083055
31,16,MLP,1.237469500000003,0.005808699999988676
32,17,LDA,0.24062340000000404,0.005712100000010878
33,17,MLP,1.2659053000000142,0.006319700000005923
34,18,LDA,0.23553060000000414,0.005480099999999766
35,18,MLP,1.2112167999999883,0.006440699999984645
36,19,LDA,0.19374059999998394,0.003697799999997642
37,19,MLP,0.7677161000000012,0.0038889999999867086
38,20,LDA,0.13167380000001572,0.0021930000000054406
39,20,MLP,0.5863598999999908,0.002822699999995848
40,21,LDA,0.2698396000000116,0.006555300000002262
41,21,MLP,1.2534088000000168,0.006568899999990663
42,22,LDA,0.2843414000000166,0.00611929999999461
43,22,MLP,0.7361455000000205,0.005661699999990333
44,23,LDA,0.27601950000001807,0.006086199999998598
45,23,MLP,1.2844798999999796,0.006375900000023194
46,24,LDA,0.23468750000000682,0.005733300000002828
47,24,MLP,0.9155929000000071,0.00640889999999672
48,25,LDA,0.23638019999998505,0.005534100000005537
49,25,MLP,0.6531793999999991,0.005564099999986638
50,26,LDA,0.23254989999998088,0.006506999999999152
51,26,MLP,1.225432000000012,0.006168599999995195
52,27,LDA,0.23949870000001283,0.00632300000000896
53,27,MLP,1.135969000000017,0.005476500000014539
54,28,LDA,0.2289767999999981,0.006553999999994176
55,28,MLP,1.185383999999999,0.006384299999979248
56,29,LDA,0.07293379999998706,0.000439599999992879
57,29,MLP,0.26111529999997174,0.0005524000000036722
58,30,LDA,0.17290649999995367,0.0031996000000162894
59,30,MLP,0.706394400000022,0.003163200000017241
60,31,LDA,0.25098930000001474,0.006011000000000877
61,31,MLP,1.1977999000000068,0.0057898000000022876
62,32,LDA,0.24039219999997385,0.006045900000003712
63,32,MLP,1.2075404999999932,0.005559199999993325
64,33,LDA,0.2458951999999499,0.007119699999975637
65,33,MLP,0.509324700000036,0.00587630000001127
66,34,LDA,0.07090770000002067,0.0004147999999872809
67,34,MLP,0.2010898999999995,0.0005812999999648127
68,35,LDA,0.2442211000000043,0.00656480000003512
69,35,MLP,1.2566713999999592,0.005853800000011233
70,36,LDA,0.26138789999998835,0.00646489999996902
71,36,MLP,1.0502131999999733,0.005643599999984872
72,37,LDA,0.25441860000000815,0.006363200000009783
73,37,MLP,1.2237824999999702,0.005978900000002341
74,38,LDA,0.24130279999997128,0.006182499999965785
75,38,MLP,1.1545269999999732,0.006022000000029948
76,39,LDA,0.2384820999999988,0.0058996999999862965
77,39,MLP,1.2463391000000001,0.006282200000043758
78,40,LDA,0.2509726000000114,0.00730420000002141
79,40,MLP,1.1967867000000183,0.005803899999989426
80,41,LDA,0.2547463999999877,0.006406599999991158
81,41,MLP,0.985979900000018,0.005738500000006752
82,42,LDA,0.2500344000000041,0.007361100000025544
83,42,MLP,1.2077698999999598,0.00590429999999742
84,43,LDA,0.2798249999999598,0.005453799999997955
85,43,MLP,0.9513112000000206,0.005625199999997221
86,44,LDA,0.2878706000000193,0.007116900000028181
87,44,MLP,1.289886499999966,0.006053800000017873
88,45,LDA,0.2522845000000302,0.005859200000031706
89,45,MLP,1.236352399999987,0.006729400000040187
90,46,LDA,0.2816670000000272,0.007610900000031506
91,46,MLP,1.320873400000039,0.006440600000019003
92,47,LDA,0.24767700000001014,0.006735800000001291
93,47,MLP,1.12117470000004,0.006115399999998772
94,48,LDA,0.2432862,0.006160099999988233
95,48,MLP,1.2390689000000066,0.005987099999970269
96,49,LDA,0.22492369999997663,0.006692699999973684
97,49,MLP,1.2229370999999674,0.005843499999969026
98,50,LDA,0.2746104000000287,0.007041000000015174
99,50,MLP,0.9011237999999935,0.00704600000000255
100,51,LDA,0.2614876999999751,0.007147799999984272
101,51,MLP,0.7073153000000048,0.006122199999992972
102,52,LDA,0.2470874000000549,0.0059843999999884545
103,52,MLP,1.2318718000000217,0.005848800000023857
